iter	Passed	Remaining
0	58	58483
1	105	52854
2	159	53156
3	208	51986
4	255	50775
5	306	50803
6	356	50519
7	407	50573
8	459	50621
9	513	50811
10	563	50631
11	620	51085
12	705	53527
13	768	54131
14	830	54555
15	880	54123
16	935	54077
17	982	53608
18	1034	53401
19	1087	53292
20	1140	53187
21	1191	52960
22	1244	52867
23	1296	52736
24	1351	52692
25	1400	52461
26	1452	52353
27	1508	52372
28	1558	52188
29	1612	52151
30	1667	52116
31	1721	52074
32	1778	52107
33	1828	51943
34	1878	51789
35	1931	51723
36	1988	51764
37	2044	51746
38	2099	51739
39	2161	51884
40	2226	52080
41	2284	52104
42	2338	52047
43	2392	51979
44	2449	51993
45	2516	52192
46	2579	52296
47	2630	52161
48	2682	52059
49	2734	51950
50	2785	51835
51	2842	51812
52	2896	51761
53	2951	51706
54	3006	51655
55	3065	51680
56	3115	51538
57	3166	51432
58	3221	51381
59	3274	51299
60	3331	51280
61	3383	51185
62	3438	51135
63	3489	51036
64	3543	50969
65	3593	50857
66	3643	50735
67	3689	50566
68	3734	50394
69	3785	50289
70	3841	50261
71	3892	50166
72	3940	50041
73	3988	49911
74	4044	49876
75	4099	49841
76	4152	49780
77	4205	49710
78	4259	49654
79	4314	49614
80	4366	49541
81	4419	49480
82	4471	49407
83	4528	49380
84	4577	49278
85	4634	49253
86	4688	49205
87	4739	49120
88	4792	49058
89	4839	48929
90	4886	48815
91	4940	48759
92	4994	48706
93	5046	48642
94	5095	48545
95	5153	48529
96	5207	48482
97	5262	48437
98	5314	48371
99	5365	48289
100	5418	48231
101	5471	48172
102	5522	48095
103	5580	48079
104	5626	47955
105	5680	47907
106	5732	47846
107	5784	47778
108	5866	47955
109	5937	48036
110	5998	48039
111	6066	48099
112	6120	48039
113	6178	48020
114	6232	47959
115	6282	47875
116	6332	47790
117	6385	47731
118	6440	47683
119	6495	47636
120	6545	47550
121	6595	47462
122	6648	47403
123	6703	47358
124	6749	47247
125	6803	47193
126	6857	47136
127	6910	47077
128	6961	47006
129	7012	46930
130	7064	46863
131	7118	46808
132	7168	46732
133	7217	46646
134	7267	46563
135	7323	46524
136	7389	46550
137	7453	46558
138	7508	46508
139	7567	46484
140	7625	46459
141	7677	46391
142	7730	46331
143	7781	46258
144	7833	46188
145	7885	46124
146	7937	46060
147	7985	45968
148	8044	45947
149	8092	45858
150	8144	45789
151	8193	45711
152	8243	45633
153	8294	45566
154	8340	45471
155	8391	45401
156	8442	45333
157	8493	45264
158	8545	45201
159	8594	45120
160	8647	45065
161	8701	45012
162	8761	44992
163	8814	44932
164	8868	44881
165	8920	44815
166	8977	44779
167	9027	44705
168	9079	44646
169	9126	44559
170	9182	44514
171	9236	44464
172	9290	44414
173	9340	44340
174	9395	44291
175	9442	44208
176	9493	44143
177	9552	44113
178	9602	44041
179	9655	43986
180	9709	43935
181	9767	43898
182	9819	43840
183	9873	43787
184	9927	43733
185	9979	43672
186	10036	43633
187	10090	43581
188	10144	43529
189	10191	43446
190	10242	43382
191	10302	43354
192	10356	43305
193	10413	43262
194	10466	43207
195	10522	43164
196	10577	43116
197	10635	43079
198	10688	43021
199	10743	42973
200	10795	42914
201	10845	42844
202	10897	42786
203	10950	42730
204	11004	42674
205	11093	42759
206	11162	42762
207	11243	42810
208	11299	42764
209	11353	42712
210	11406	42653
211	11461	42603
212	11516	42549
213	11569	42493
214	11619	42423
215	11677	42386
216	11732	42334
217	11791	42298
218	11847	42250
219	11903	42202
220	11960	42158
221	12015	42109
222	12067	42046
223	12118	41982
224	12176	41940
225	12232	41893
226	12281	41822
227	12333	41761
228	12382	41690
229	12442	41655
230	12495	41597
231	12547	41535
232	12602	41484
233	12657	41432
234	12713	41388
235	12768	41336
236	12830	41307
237	12888	41265
238	12945	41219
239	13002	41173
240	13060	41131
241	13116	41085
242	13169	41026
243	13230	40993
244	13287	40946
245	13336	40877
246	13386	40810
247	13438	40750
248	13492	40694
249	13542	40627
250	13595	40569
251	13651	40520
252	13703	40461
253	13763	40422
254	13813	40357
255	13870	40310
256	13922	40251
257	13972	40184
258	14027	40131
259	14076	40062
260	14128	40003
261	14178	39939
262	14232	39884
263	14288	39835
264	14341	39776
265	14399	39733
266	14452	39676
267	14505	39618
268	14561	39570
269	14614	39513
270	14664	39449
271	14716	39389
272	14770	39335
273	14822	39273
274	14871	39206
275	14921	39141
276	14972	39079
277	15028	39030
278	15081	38973
279	15129	38905
280	15178	38838
281	15231	38780
282	15284	38724
283	15334	38661
284	15385	38598
285	15428	38516
286	15481	38461
287	15535	38406
288	15589	38352
289	15634	38278
290	15691	38232
291	15744	38176
292	15804	38134
293	15858	38083
294	15912	38027
295	15966	37973
296	16022	37924
297	16074	37866
298	16126	37807
299	16178	37749
300	16235	37702
301	16325	37731
302	16392	37707
303	16462	37690
304	16504	37609
305	16560	37558
306	16613	37501
307	16664	37441
308	16716	37381
309	16767	37321
310	16818	37259
311	16873	37208
312	16925	37150
313	16979	37094
314	17031	37035
315	17086	36983
316	17135	36919
317	17189	36865
318	17242	36809
319	17296	36754
320	17345	36690
321	17401	36640
322	17456	36587
323	17505	36524
324	17558	36467
325	17612	36414
326	17663	36353
327	17711	36286
328	17765	36233
329	17818	36176
330	17873	36124
331	17930	36077
332	17984	36022
333	18040	35973
334	18094	35918
335	18144	35857
336	18197	35800
337	18251	35746
338	18303	35688
339	18351	35623
340	18406	35571
341	18462	35522
342	18516	35467
343	18569	35411
344	18623	35357
345	18676	35302
346	18735	35256
347	18787	35200
348	18841	35144
349	18897	35094
350	18946	35032
351	18998	34973
352	19057	34930
353	19113	34880
354	19166	34823
355	19213	34756
356	19260	34690
357	19312	34633
358	19362	34572
359	19421	34526
360	19473	34469
361	19524	34411
362	19578	34357
363	19633	34305
364	19683	34244
365	19736	34188
366	19785	34126
367	19840	34073
368	19897	34025
369	19957	33982
370	20010	33925
371	20063	33871
372	20118	33819
373	20172	33764
374	20226	33710
375	20278	33653
376	20331	33598
377	20382	33539
378	20432	33478
379	20481	33417
380	20533	33360
381	20583	33300
382	20637	33246
383	20695	33198
384	20746	33140
385	20799	33085
386	20853	33031
387	20905	32974
388	20957	32918
389	21009	32861
390	21057	32797
391	21107	32738
392	21156	32676
393	21204	32614
394	21252	32551
395	21303	32493
396	21357	32439
397	21409	32382
398	21496	32379
399	21561	32341
400	21639	32324
401	21697	32277
402	21746	32214
403	21797	32156
404	21853	32106
405	21914	32062
406	21958	31993
407	22011	31938
408	22076	31900
409	22138	31857
410	22191	31801
411	22246	31749
412	22292	31684
413	22344	31628
414	22396	31570
415	22446	31511
416	22493	31447
417	22548	31394
418	22598	31335
419	22657	31289
420	22709	31232
421	22766	31182
422	22821	31129
423	22874	31075
424	22928	31020
425	22984	30969
426	23038	30915
427	23096	30866
428	23152	30815
429	23241	30808
430	23336	30808
431	23420	30793
432	23525	30805
433	23582	30754
434	23636	30700
435	23692	30648
436	23745	30591
437	23799	30536
438	23860	30491
439	23921	30445
440	23974	30389
441	24026	30332
442	24083	30281
443	24140	30229
444	24194	30175
445	24254	30127
446	24301	30064
447	24355	30008
448	24407	29952
449	24457	29892
450	24512	29839
451	24564	29781
452	24613	29721
453	24668	29667
454	24719	29608
455	24772	29553
456	24830	29502
457	24884	29448
458	24935	29390
459	24990	29337
460	25043	29281
461	25094	29223
462	25149	29168
463	25202	29113
464	25254	29056
465	25310	29003
466	25362	28946
467	25419	28895
468	25471	28838
469	25521	28779
470	25576	28726
471	25634	28675
472	25690	28623
473	25741	28564
474	25790	28505
475	25841	28447
476	25896	28393
477	25946	28334
478	26004	28284
479	26056	28227
480	26112	28175
481	26166	28121
482	26219	28065
483	26277	28014
484	26329	27957
485	26380	27900
486	26426	27837
487	26478	27780
488	26530	27723
489	26582	27667
490	26635	27612
491	26724	27593
492	26792	27553
493	26865	27518
494	26924	27468
495	26979	27414
496	27033	27360
497	27086	27303
498	27136	27244
499	27193	27193
500	27246	27137
501	27291	27074
502	27346	27020
503	27402	26967
504	27455	26911
505	27505	26853
506	27560	26799
507	27614	26745
508	27666	26688
509	27714	26627
510	27768	26572
511	27821	26517
512	27873	26460
513	27925	26404
514	27974	26345
515	28027	26289
516	28086	26239
517	28143	26187
518	28195	26130
519	28253	26079
520	28308	26026
521	28357	25967
522	28410	25911
523	28464	25856
524	28512	25797
525	28562	25738
526	28611	25679
527	28666	25626
528	28718	25569
529	28776	25518
530	28828	25462
531	28880	25406
532	28935	25352
533	28984	25293
534	29037	25238
535	29092	25184
536	29146	25130
537	29204	25078
538	29257	25023
539	29312	24970
540	29363	24913
541	29415	24856
542	29472	24805
543	29525	24749
544	29577	24693
545	29631	24638
546	29679	24579
547	29734	24525
548	29786	24469
549	29843	24417
550	29894	24360
551	29948	24306
552	30003	24252
553	30058	24198
554	30109	24141
555	30165	24088
556	30208	24025
557	30263	23972
558	30316	23916
559	30373	23864
560	30427	23810
561	30478	23753
562	30526	23694
563	30580	23640
564	30631	23583
565	30682	23526
566	30734	23471
567	30784	23413
568	30835	23357
569	30887	23301
570	30941	23246
571	30992	23190
572	31044	23134
573	31096	23078
574	31141	23017
575	31198	22965
576	31252	22911
577	31302	22854
578	31359	22802
579	31416	22749
580	31469	22695
581	31523	22640
582	31572	22582
583	31625	22528
584	31679	22473
585	31728	22415
586	31781	22360
587	31838	22308
588	31925	22277
589	31996	22234
590	32099	22214
591	32162	22166
592	32216	22111
593	32265	22053
594	32318	21998
595	32384	21952
596	32456	21909
597	32526	21865
598	32583	21813
599	32637	21758
600	32692	21704
601	32749	21651
602	32802	21596
603	32855	21540
604	32903	21482
605	32956	21427
606	33010	21372
607	33063	21317
608	33114	21260
609	33167	21205
610	33217	21148
611	33266	21090
612	33314	21032
613	33367	20977
614	33418	20920
615	33468	20863
616	33521	20808
617	33576	20754
618	33629	20699
619	33684	20645
620	33736	20589
621	33795	20538
622	33847	20482
623	33901	20427
624	33957	20374
625	34010	20319
626	34072	20269
627	34134	20219
628	34192	20167
629	34253	20117
630	34311	20064
631	34374	20015
632	34438	19966
633	34495	19913
634	34552	19861
635	34604	19805
636	34657	19750
637	34712	19696
638	34768	19642
639	34820	19586
640	34873	19531
641	34930	19478
642	34980	19421
643	35029	19364
644	35082	19308
645	35133	19252
646	35189	19199
647	35244	19145
648	35297	19089
649	35350	19034
650	35401	18978
651	35454	18923
652	35500	18864
653	35549	18807
654	35605	18754
655	35661	18700
656	35709	18642
657	35768	18590
658	35825	18537
659	35878	18482
660	35934	18429
661	35989	18375
662	36043	18320
663	36099	18267
664	36152	18212
665	36203	18156
666	36258	18101
667	36314	18048
668	36370	17995
669	36428	17942
670	36484	17888
671	36535	17832
672	36589	17778
673	36642	17722
674	36697	17669
675	36748	17613
676	36801	17558
677	36854	17503
678	36906	17447
679	36964	17394
680	37018	17340
681	37079	17289
682	37165	17249
683	37235	17202
684	37311	17157
685	37364	17102
686	37420	17049
687	37472	16993
688	37524	16937
689	37580	16884
690	37638	16831
691	37692	16776
692	37746	16721
693	37798	16666
694	37849	16610
695	37904	16556
696	37964	16503
697	38018	16449
698	38072	16394
699	38122	16338
700	38172	16281
701	38228	16228
702	38283	16173
703	38335	16118
704	38383	16061
705	38435	16005
706	38493	15952
707	38548	15898
708	38601	15843
709	38655	15789
710	38708	15733
711	38760	15678
712	38813	15623
713	38867	15568
714	38923	15515
715	38979	15461
716	39030	15405
717	39085	15350
718	39138	15296
719	39195	15242
720	39247	15187
721	39299	15131
722	39356	15078
723	39406	15022
724	39464	14969
725	39512	14912
726	39564	14857
727	39617	14802
728	39672	14747
729	39726	14693
730	39779	14638
731	39837	14585
732	39885	14528
733	39944	14475
734	40000	14421
735	40047	14364
736	40104	14311
737	40161	14258
738	40215	14203
739	40272	14149
740	40322	14093
741	40376	14039
742	40434	13985
743	40491	13932
744	40548	13879
745	40602	13824
746	40650	13767
747	40709	13715
748	40765	13660
749	40818	13606
750	40872	13551
751	40927	13497
752	40981	13442
753	41035	13388
754	41087	13333
755	41138	13277
756	41194	13223
757	41246	13168
758	41297	13112
759	41352	13058
760	41410	13005
761	41463	12950
762	41522	12897
763	41573	12842
764	41628	12787
765	41678	12732
766	41730	12676
767	41784	12622
768	41841	12568
769	41893	12513
770	41945	12458
771	42001	12404
772	42059	12351
773	42108	12295
774	42161	12240
775	42216	12186
776	42271	12132
777	42371	12090
778	42440	12040
779	42512	11990
780	42568	11936
781	42619	11881
782	42676	11827
783	42729	11772
784	42788	11719
785	42845	11665
786	42902	11611
787	42955	11556
788	43008	11501
789	43063	11447
790	43118	11392
791	43171	11337
792	43227	11283
793	43278	11228
794	43332	11173
795	43385	11118
796	43437	11063
797	43491	11009
798	43550	10955
799	43601	10900
800	43659	10846
801	43711	10791
802	43765	10736
803	43816	10681
804	43872	10627
805	43925	10572
806	43976	10517
807	44029	10462
808	44086	10408
809	44141	10354
810	44192	10298
811	44246	10244
812	44303	10190
813	44361	10136
814	44417	10082
815	44471	10027
816	44526	9973
817	44577	9918
818	44634	9864
819	44694	9810
820	44754	9757
821	44813	9704
822	44871	9650
823	44930	9596
824	44986	9542
825	45045	9488
826	45105	9435
827	45165	9382
828	45226	9328
829	45278	9273
830	45336	9220
831	45387	9164
832	45441	9110
833	45493	9055
834	45548	9000
835	45601	8945
836	45653	8890
837	45710	8836
838	45767	8782
839	45825	8728
840	45879	8674
841	45932	8619
842	45984	8564
843	46038	8509
844	46097	8455
845	46153	8401
846	46205	8346
847	46257	8291
848	46311	8236
849	46363	8181
850	46408	8125
851	46469	8072
852	46523	8017
853	46579	7963
854	46634	7908
855	46689	7854
856	46746	7800
857	46800	7745
858	46859	7691
859	46914	7637
860	46966	7582
861	47021	7527
862	47079	7473
863	47132	7419
864	47182	7363
865	47237	7309
866	47295	7255
867	47346	7200
868	47399	7145
869	47451	7090
870	47507	7036
871	47597	6986
872	47668	6934
873	47732	6881
874	47789	6827
875	47846	6772
876	47908	6719
877	47968	6665
878	48031	6611
