iter	Passed	Remaining
369	19286	32839
370	19332	32777
371	19381	32720
372	19430	32662
373	19485	32615
374	19536	32560
375	19594	32518
376	19657	32484
377	19710	32434
378	19758	32374
379	19811	32324
380	19863	32272
381	19921	32228
382	19975	32180
383	20027	32127
384	20078	32073
385	20135	32029
386	20187	31976
387	20240	31926
388	20294	31875
389	20347	31825
390	20399	31773
391	20453	31723
392	20508	31675
393	20561	31624
394	20614	31574
395	20667	31522
396	20717	31466
397	20771	31417
398	20825	31369
399	20875	31313
400	20926	31259
401	20985	31216
402	21034	31160
403	21086	31107
404	21140	31057
405	21189	31001
406	21239	30946
407	21289	30890
408	21341	30838
409	21399	30793
410	21461	30756
411	21515	30706
412	21573	30662
413	21620	30602
414	21675	30554
415	21729	30504
416	21781	30451
417	21832	30398
418	21884	30345
419	21939	30297
420	21995	30250
421	22057	30211
422	22109	30158
423	22164	30110
424	22214	30054
425	22264	29999
426	22317	29948
427	22368	29894
428	22424	29847
429	22473	29790
430	22523	29734
431	22578	29687
432	22624	29626
433	22678	29575
434	22728	29520
435	22780	29468
436	22833	29416
437	22887	29366
438	22941	29317
439	22990	29260
440	23042	29208
441	23091	29151
442	23145	29101
443	23197	29048
444	23255	29003
445	23312	28957
446	23360	28900
447	23412	28847
448	23464	28795
449	23523	28750
450	23575	28698
451	23625	28643
452	23680	28594
453	23733	28542
454	23785	28490
455	23838	28438
456	23890	28385
457	23943	28334
458	23997	28285
459	24052	28235
460	24105	28184
461	24159	28133
462	24211	28081
463	24263	28028
464	24309	27969
465	24362	27917
466	24417	27868
467	24469	27815
468	24525	27767
469	24579	27717
470	24633	27667
471	24689	27618
472	24741	27566
473	24795	27515
474	24841	27456
475	24898	27409
476	24946	27351
477	24998	27299
478	25050	27247
479	25102	27194
480	25161	27148
481	25213	27096
482	25264	27043
483	25319	26993
484	25369	26938
485	25420	26885
486	25473	26833
487	25534	26789
488	25583	26734
489	25639	26686
490	25689	26631
491	25736	26573
492	25785	26518
493	25834	26461
494	25889	26412
495	25940	26358
496	25989	26303
497	26044	26253
498	26093	26197
499	26147	26147
500	26197	26092
501	26253	26044
502	26298	25984
503	26358	25940
504	26411	25888
505	26466	25838
506	26520	25787
507	26578	25741
508	26630	25688
509	26682	25636
510	26735	25584
511	26782	25527
512	26836	25476
513	26889	25424
514	26943	25373
515	26992	25318
516	27049	25270
517	27104	25220
518	27159	25171
519	27211	25118
520	27264	25066
521	27321	25018
522	27379	24971
523	27435	24922
