iter	Logloss
0	0.6914743644
1	0.6901099965
2	0.6891635924
3	0.688457044
4	0.6879458431
5	0.6873349423
6	0.687004209
7	0.6865083721
8	0.6860518779
9	0.685725372
10	0.6853735708
11	0.6852104508
12	0.6848830534
13	0.6846596941
14	0.6844389732
15	0.6840132949
16	0.6836661976
17	0.6832881687
18	0.6830188037
19	0.6828059522
20	0.6825685037
21	0.6824118601
22	0.6821666136
23	0.6818270459
24	0.6816542164
25	0.6815024548
26	0.6812484739
27	0.68105603
28	0.680954029
29	0.6806031491
30	0.680346606
31	0.6801236774
32	0.6799179266
33	0.6795737645
34	0.679461324
35	0.6791494226
36	0.6788122763
37	0.6785113219
38	0.6783868589
39	0.678181211
40	0.67799653
41	0.6777031687
42	0.6774654892
43	0.677208882
44	0.6768895054
45	0.6766352101
46	0.6764379183
47	0.676356834
48	0.6759786803
49	0.6756569905
50	0.6754634937
51	0.6753464321
52	0.675198634
53	0.6750628025
54	0.6749353022
55	0.6747709854
56	0.6746131587
57	0.6743905943
58	0.6742128667
59	0.6740061084
60	0.6737762156
61	0.6736418017
62	0.6734957755
63	0.6733776902
64	0.6732056034
65	0.6730478325
66	0.6728256927
67	0.6725980531
68	0.6724131723
69	0.6721202783
70	0.671952093
71	0.6718481992
72	0.6716157162
73	0.6714835466
74	0.6712978515
75	0.6712135202
76	0.6709514619
77	0.6706614858
78	0.6705277599
79	0.6702784265
80	0.6700466503
81	0.6698942818
82	0.6696999832
83	0.6695427937
84	0.6693663858
85	0.6692156209
86	0.6688572187
87	0.6686860886
88	0.6683658935
89	0.6682854861
90	0.6681256714
91	0.6678917983
92	0.6677552749
93	0.6675483681
94	0.6673352026
95	0.6670292559
96	0.6668468229
97	0.6666532129
98	0.6664423024
99	0.6662697469
100	0.6661695581
101	0.6660262292
102	0.6658626503
103	0.6656216939
104	0.6654841142
105	0.6653808415
106	0.6651113473
107	0.6650109802
108	0.6647869188
109	0.6645854316
110	0.6644725683
111	0.6643547064
112	0.6641338167
113	0.6640049488
114	0.6639178621
115	0.663790853
116	0.663649806
117	0.6634779729
118	0.663258777
119	0.6631848586
120	0.6630616978
121	0.6629050338
122	0.6627995179
123	0.6626835144
124	0.6624987894
125	0.662341632
126	0.6621914431
127	0.6619231668
128	0.661745615
129	0.661485398
130	0.6613538809
131	0.6611507603
132	0.6610163988
133	0.6608759934
134	0.660773575
135	0.6606252406
136	0.6604993282
137	0.6603239254
138	0.6601597901
139	0.6600742429
140	0.6599256356
141	0.6598435561
142	0.6596305935
143	0.6595219338
144	0.6594343186
145	0.6592615728
146	0.6592030205
147	0.6589819821
148	0.6587273229
149	0.6585961011
150	0.6584177951
151	0.6583318229
152	0.6582101675
153	0.6580824274
154	0.6579574306
155	0.6578184124
156	0.6576412304
157	0.6575268992
158	0.6573601004
159	0.6572091062
160	0.6571040584
161	0.6569508428
162	0.6567894586
163	0.6566628485
164	0.6565151758
165	0.6564197222
166	0.656256067
167	0.6560764857
168	0.6558961451
169	0.6558067521
170	0.6556774816
171	0.6556099887
172	0.6555163803
173	0.6553852987
174	0.6552217815
175	0.6550895014
176	0.6549400262
177	0.6548709748
178	0.6547243933
179	0.6546134438
180	0.654471603
181	0.6543941486
182	0.6542478875
183	0.6541122496
184	0.654043283
185	0.6539076313
186	0.6537537689
187	0.6536639491
188	0.6534756323
189	0.6534370027
190	0.6533800436
191	0.6532671022
192	0.6531426166
193	0.6530872314
194	0.6529738281
195	0.6528287943
196	0.6526335797
197	0.6524433102
198	0.6522645653
199	0.6521815337
200	0.6520567721
201	0.651955093
202	0.6518574277
203	0.651580034
204	0.6515278402
205	0.6514191782
206	0.6512761026
207	0.6511851175
208	0.6510731587
209	0.6510297238
210	0.6508645615
211	0.650775072
212	0.6506532154
213	0.6505611119
214	0.6504366899
215	0.6503437565
216	0.6501972303
217	0.6501134434
218	0.6500018682
219	0.6499184197
220	0.6497913014
221	0.6496697372
222	0.6496221937
223	0.6494563669
224	0.6493568416
225	0.6491979023
226	0.6490073809
227	0.6489033481
228	0.6487966375
229	0.648663443
230	0.64860106
231	0.6485625792
232	0.6484859527
233	0.6483993817
234	0.6483017774
235	0.6482184004
236	0.6481432891
237	0.648035571
238	0.6479239643
239	0.6478178554
240	0.6477307256
241	0.6476380606
242	0.647560782
243	0.6474956783
244	0.647354088
245	0.6471729423
246	0.6470689945
247	0.646974957
248	0.6469274416
249	0.6467544378
250	0.6465671026
251	0.6464962597
252	0.646442335
253	0.6463361654
254	0.6462427562
255	0.6461087845
256	0.6460081088
257	0.645918285
258	0.6457508971
259	0.6456226127
260	0.6454171903
261	0.6452622428
262	0.6451477052
